GUID,Cell Reference,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans
FFFCC6BB,'[IFRS+ Financials.xlsx]Directors'!$D$4,IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)",IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)"
EB5481D4,'[IFRS+ Financials.xlsx]Directors'!$D$5,(Registration Number ),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identification"",IF(EntityType=""Body Corporate"",""Scheme"",""Registration""))&"" Number ""&RegistrationNumber&"")""",(Registrasienommer ),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identifikasie"",IF(EntityType=""Body Corporate"",""Skema"",""Registrasie""))&""nommer ""&RegistrationNumber&"")"""
F25A5CA3,'[IFRS+ Financials.xlsx]Directors'!$D$6,Annual Financial Statements for the year ended 28 February 2025,"'=AFS_Name&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc",,
7EE15543,'[IFRS+ Financials.xlsx]Directors'!$D$8,Director's Report,"'=IF(Capitalisation=1,UPPER(Directors_Name),Directors_Name)",,
B8080B6E,'[IFRS+ Financials.xlsx]Directors'!$D$12,The director presents their report for the year ended 28 February 2025. ,"'=""The ""&LOWER(Director_board)&Director_present_s&"" ""&DGender_their&"" report for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"". """,,
3A3A61F9,'[IFRS+ Financials.xlsx]Directors'!$D$14,Review of activities,"'=""Review of ""&IFERROR(IF(Directors_RoAExpand="""","""",""financial results and ""),"""")&""activities""",,
B42B1E5C,'[IFRS+ Financials.xlsx]Directors'!$D$16,Main business and operations,,,
F8F49594,'[IFRS+ Financials.xlsx]Directors'!$D$17,The company [INSERT NATURE OF BUSINESS IN CLIENT SETUP]. There were no major changes herein during the year.,"'=""The ""&GroupEntityCase&IF(LEN(NatureOfBusiness)>0,"" ""&NatureOfBusiness,"" [INSERT NATURE OF BUSINESS IN CLIENT SETUP]"")&"". There were no major changes herein during the ""&Period_Year&"".""",,
2ED496FB,'[IFRS+ Financials.xlsx]Directors'!$D$19,The operating results and statement of financial position of the company are fully set out in the attached financial statements and do not in my opinion require any further comment.,"'=""The operating results and ""&LOWER(GroupAFSPrefix)&""statement of financial position of the ""&GroupEntityCase&"" are fully set out in the attached financial statements and do not in""&Director_my_our&"" opinion require any further comment.""",,
A8C09DD0,'[IFRS+ Financials.xlsx]Directors'!$D$21,The company did not trade during the year under review.,"'=""The ""&GroupEntityCase&"" did not trade during the ""&Period_Year&"" under review.""",,
B210C2BA,'[IFRS+ Financials.xlsx]Directors'!$D$23,"For additional detail, please expand this grouping.",,,
EAC9B2FB,'[IFRS+ Financials.xlsx]Directors'!$D$24,The company generated no profit or loss after tax for the year ended 28 February 2025 (2024: R0).,"'=""The ""&GroupEntityCase&"" generated ""&IFERROR(IF(TotalIncomeFinal=0,""no ""&PSLower&"" or ""&LDLower,""a ""&IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,PSLower,IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,LDLower,IF(TotalIncomeFinal>0,PSLower,LDLower)))),PSLower&"" / (""&LDLower&"")"")&"" after tax for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&IF(TotalIncomeFinal=0,"""","" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&IF(YearsToReportOn<=1,"""","" (""&Prior1YearEndDate_Calc2&"": ""&IFERROR(IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,"""",IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,"""",IF(TotalIncomePrior1>0,PSLower,LDLower)&"" of "")),PSLower&"" / (""&LDLower&"")"")&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")"")&"".""",,
3D4EC4E7,'[IFRS+ Financials.xlsx]Directors'!$D$26,The company's revenue did not increase/(decrease) and remained R0 for the year ended 28 February 2025.,"'=""The ""&GroupEntityCaseAp&"" revenue ""&IF(YearsToReportOn<=1,""amounted to"",IF(-SUMIF(TBLink,""i.???.???"",Final)=-SUMIF(TBLink,""i.???.???"",Prior1),""did not increase/(decrease) and remained"",IF(-SUMIF(TBLink,""i.???.???"",Final)+1>-SUMIF(TBLink,""i.???.???"",Prior1),""increased"",""decreased"")&"" from ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Prior1)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" in the ""&Prior1_Year_Monthperiod&"" to""))&"" ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Final)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"".""",,
8F6781BB,'[IFRS+ Financials.xlsx]Directors'!$D$28,The company had no cash flows from operating activities for the year ended 28 February 2025.,"'=IF(AND(NetCashFlowsUsedInOpActFirstColumn=0,NetCashFlowsUsedInOpActPrior1=0),""The ""&GroupEntityCase&"" had no cash flows from operating activities for the "",""The ""&GroupEntityCaseAp&"" cash flows from operating activities ""&IF(YearsToReportOn<=1,""amounted"",""changed from ""&IF(NetCashFlowsUsedInOpActPrior1=0,""a net flow of ""&CurrencySymbolRoundingBrackets&""0"",""an ""&IF(NetCashFlowsUsedInOpActPrior1>=0,""inflow"",""outflow"")&"" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActPrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" in the ""&Prior1_Year_Monthperiod)&IF(NetCashFlowsUsedInOpActFirstColumn=0,"" to a net flow of ""&CurrencySymbolRoundingBrackets&""0"","" to an ""&IF(NetCashFlowsUsedInOpActFirstColumn>=0,""inflow"",""outflow"")&"" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(NetCashFlowsUsedInOpActFirstColumn),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&"" for the "")&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"".""",,
E74E178B,'[IFRS+ Financials.xlsx]Directors'!$D$30,Going concern,,,
9C6DE8FE,'[IFRS+ Financials.xlsx]Directors'!$D$32,Financial Reporting Considerations Related to the Russia-Ukraine War,,,
AEBCEB3B,'[IFRS+ Financials.xlsx]Directors'!$D$33,"The geopolitical situation in Eastern Europe intensified on 24 February 2022, with Russia’s invasion of Ukraine. The war between the two countries continues to evolve as military activity proceeds and additional sanctions are imposed. In addition to the human toll and impact of the events on entities that have operations in Russia, Ukraine, or neighbouring countries or that conduct business with their counterparties, the war is increasingly affecting economic and global financial markets and exacerbating ongoing economic challenges, including issues such as rising inflation and global supply-chain disruption.",,,
A3DF1F8D,'[IFRS+ Financials.xlsx]Directors'!$D$35,The director has considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on IFRS+AFRIKAANS as part of their going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the director believes that there is no need for any adjustments to the Financial Statements as a result of these events.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on ""&CompanyName&"" as part of ""&DGender_their&"" going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the ""&LOWER(Director_board)&Director_believe_s&"" that there is no need for any adjustments to the ""&AFS_Name_Annual&"" as a result of these events.""",,
F4214BEC,'[IFRS+ Financials.xlsx]Directors'!$D$37,The director has considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on IFRS+AFRIKAANS as part of their going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the Financial Statements have been adjusted where necessary as a result of these events.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" considered the direct and indirect exposures to the impacts of the war and the resulting financial accounting and reporting implications on ""&CompanyName&"" as part of ""&DGender_their&"" going concern assessment. This assessment has not raised any concerns regarding the going concern assumption and the ""&AFS_Name_Annual&"" have been adjusted where necessary as a result of these events.""",,
9C6765BB,'[IFRS+ Financials.xlsx]Directors'!$D$39,Additional details as required,,,
AC715A53,'[IFRS+ Financials.xlsx]Directors'!$D$41,Additional details as required,,,
B0EF0F54,'[IFRS+ Financials.xlsx]Directors'!$D$43,"Various paragraphs are provided below. Please ensure that a valid selections is made for inclusion. If none are suitable, please add  your own paragraphs.",,,
4D36D39C,'[IFRS+ Financials.xlsx]Directors'!$D$44,"The annual financial statements have been prepared on the basis of accounting policies applicable to a going concern. This basis presumes that funds will be available to finance future operations and that the realisation of assets and settlement of liabilities, contingent obligations and commitments will occur in the ordinary course of business.","'=""The ""&LOWER(AFS_Name)&"" have been prepared on the basis of accounting policies applicable to a going concern. This basis presumes that funds will ""&""be available to finance future operations and that the realisation of assets and settlement of liabilities, contingent obligations and commitments will occur in the ordinary course of business.""",,
A1D3B37C,'[IFRS+ Financials.xlsx]Directors'!$D$46,"The company's financial statements have been prepared on the going concern basis. The Director having performed a review of the company's ability to continue as a going concern in the foreseeable future and therefore, based on this review, considers the preparation of the financial statements on this basis to be appropriate.","'=""The ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name_Annual)&"" have been prepared on the going concern basis. The ""&Director_board&"" having performed a review of the ""&GroupEntityCaseAp&"" ability to continue as a going concern in the foreseeable future and therefore, based on this review, considers the preparation of the ""&LOWER(AFS_Name_Annual)&"" on this basis to be appropriate.""",,
E666479E,'[IFRS+ Financials.xlsx]Directors'!$D$48,"The company's financial statements have been prepared on the going concern basis, since the Director has every reason to believe that the company has adequate resources in place to continue in operation for the foreseeable future, based on forecasts and available cash resources.","'=""The ""&GroupEntityCaseAp&"" ""&LOWER(AFS_Name_Annual)&"" have been prepared on the going concern basis, since the ""&Director_board&Director_has_have&"" every reason to believe that the ""&GroupEntityCase&"" has adequate resources in place to continue in operation for the foreseeable future, based on forecasts and available cash resources.""",,
8E62E3E3,'[IFRS+ Financials.xlsx]Directors'!$D$50,The director believes that the company has adequate financial resources to continue in operation for the foreseeable future and accordingly the annual financial statements have been prepared on a going concern basis.,"'=""The ""&LOWER(Director_board)&Director_believe_s&"" that the ""&EntityDescriptionCase&AndGroup&Entity_have_has&"" adequate financial resources to continue in operation for the foreseeable future and accordingly the ""&LOWER(AFS_Name)&"" have been prepared on a going concern basis.""",,
2AF6DBFF,'[IFRS+ Financials.xlsx]Directors'!$D$52,The director has satisfied themself that the company is in a sound financial position and that it has access to sufficient borrowing facilities to meet its foreseeable cash requirements.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" satisfied""&DGender_itself_themselves&"" that the ""&EntityDescriptionCase&AndGroup&Entity_are_is&"" in a sound financial position and that it has access to sufficient borrowing facilities to meet its foreseeable cash requirements.""",,
6C4349A4,'[IFRS+ Financials.xlsx]Directors'!$D$54,"The going-concern criterion has been adopted in preparing the financial statements. Based on current plans and various initiatives to improve cash flow, the company will be able to continue as a going concern.","'=""The going-concern criterion has been adopted in preparing the ""&LOWER(AFS_Name_Annual)&"". Based on current plans and various initiatives to improve cash flow, the ""&GroupEntityCase&"" will be able to continue as a going concern.""",,
E284F670,'[IFRS+ Financials.xlsx]Directors'!$D$56,"Based on the going concern assessment detailed in note XXXXX of the financial statements, the Director is of the view that the company has adequate resources to continue in operation for the foreseeable future and accordingly, the financial statements have been prepared on a going concern basis.","'=""Based on the going concern assessment detailed in note XXXXX of the ""&LOWER(AFS_Name_Annual)&"", the ""&Director_board&"" is of the view that the ""&GroupEntityCase&"" has adequate resources to continue in operation for the foreseeable future and accordingly, the ""&LOWER(AFS_Name_Annual)&"" have been prepared on a going concern basis.""",,
8EB9D15D,'[IFRS+ Financials.xlsx]Directors'!$D$58,"After making enquiries, the Director has a reasonable expectation that the company has adequate resources to continue in operational existence for the foreseeable future. The company therefore continues to adopt the going concern basis in preparing the financial statements.","'=""After making enquiries, the ""&Director_board&Director_has_have&"" a reasonable expectation that the ""&GroupEntityCase&"" has adequate resources to continue in operational existence for the foreseeable future. The ""&GroupEntityCase&"" therefore continues to adopt the going concern basis in preparing the ""&LOWER(AFS_Name_Annual)&"".""",,
0DC4AC93,'[IFRS+ Financials.xlsx]Directors'!$D$60,"IMPACT OF COVID-19
Please edit and include as required","'=""IMPACT OF COVID-19""&CHAR(10)&""Please edit and include as required""",,
D8C8D819,'[IFRS+ Financials.xlsx]Directors'!$D$62,Source BJP Chartered Accountants,,,
A80ADA63,'[IFRS+ Financials.xlsx]Directors'!$D$63,The director has given due consideration to the potential impact of the COVID-19 pandemic on the company's ability to continue as a going concern. The director believes that the pandemic will have a temporary impact on the business activities. Not withstanding these short-term challenges the director is of the view that the company has sufficient resources to continue as a going concern.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" given due consideration to the potential impact of the COVID-19 pandemic on the ""&GroupEntityCaseAp&"" ability to continue as a going concern. The ""&LOWER(Director_board)&Director_believe_s&"" that the pandemic will have a temporary impact on the business activities. Not withstanding these short-term challenges the ""&LOWER(Director_board)&Director_is_are&"" of the view that the ""&GroupEntityCase&"" has sufficient resources to continue as a going concern.""",,
1D47319F,'[IFRS+ Financials.xlsx]Directors'!$D$65,Provided,,,
EF9CBA12,'[IFRS+ Financials.xlsx]Directors'!$D$66,"The full impact of the COVID-19 outbreak continues to evolve at the date of this report. The company is therefore uncertain as to the full impact that the pandemic will have on its financial condition, liquidity, and future results of operations during the next 12 months. These events or conditions indicate the existence of a material uncertainty which may cast significant doubt on the company's ability to continue as a going concern.","'=""The full impact of the COVID-19 outbreak continues to evolve at the date of this report. The ""&GroupEntityCase&"" is therefore uncertain as to the full impact that the pandemic will have on its financial condition, liquidity, and future results of ""&""operations during the next 12 months. These events or conditions indicate the existence of a material uncertainty which may cast significant doubt on the ""&GroupEntityCaseAp&"" ability to continue as a going concern.""",,
6D69E08A,'[IFRS+ Financials.xlsx]Directors'!$D$68,"The ability of the company to continue as a going concern is dependent on a number of factors. The most significant of these is that the directors continue to procure funding for the ongoing operations for the company where the need arises. Management is comfortable that the [Insert/describe industry], will continue to operate since these services [or goods] fall within the ambit of what is allowed under government regulations during the nation-wide lockdown.",,,
6E1B90EA,'[IFRS+ Financials.xlsx]Directors'!$D$70,Source Famous Brands Group Annual Financial Statements for the year ended 29 February 2020,,,
7D1E5FFF,'[IFRS+ Financials.xlsx]Directors'!$D$71,"The Board of Directors has considered the going concern assessment as prepared by management, including the company's outlook regarding trading conditions that will persist into the foreseeable future. This assessment is based on a range of varied scenarios (including assumptions regarding a worst-case scenario of a three month lockdown; the rate of return to normal trading; debt service and covenant requirements; working capital requirements; and relief measures implemented by the respective Governments in our various trading jurisdictions), and are satisfied that the company is a going concern for the foreseeable future based on the information available at the time of approval of the Annual Financial Statements.","'=""The ""&BoardDescription&"" has considered the going concern assessment as prepared by management, including the ""&GroupEntityCaseAp&"" outlook regarding trading conditions that will persist into the foreseeable future. This assessment is based on ""&""a range of varied scenarios (including assumptions regarding a worst-case scenario of a three month lockdown; the rate of return to normal trading; debt service and covenant requirements; working capital requirements; and relief ""&""measures implemented by the respective Governments in our various trading jurisdictions), and are satisfied that the ""&GroupEntityCase&"" is a going concern for the foreseeable future based on the information available at the time of approval of ""&""the ""&AFS_Name&"".""",,
0FD9250B,'[IFRS+ Financials.xlsx]Directors'!$D$73,Source Adcorp Audited Consolidated Financial Statements for the year ended 29 February 2020,,,
5BC63DD5,'[IFRS+ Financials.xlsx]Directors'!$D$74,"The Board of Directors is focused and committed to the restructuring initiatives and debt reduction of company. The director is also of the view that there are no material uncertainties that cast doubt on the company's ability to operate. The director is also satisfied that the company has sufficient resources, or access to resources, to continue with all operating activities for the foreseeable future. Based on this assessment, the director has no reason to believe that the company will not be a going concern for the foreseeable future.","'=""The ""&BoardDescription&"" is focused and committed to the restructuring initiatives and debt reduction of ""&GroupEntityCase&"". The ""&LOWER(Director_board)&Director_is_are&"" also of the view that there are no material uncertainties that cast doubt on the ""&GroupEntityCaseAp&"" ability to operate. The ""&LOWER(Director_board)&Director_is_are&"" also satisfied that the ""&GroupEntityCase&"" has sufficient resources, or access to resources, to continue with all operating activities for the foreseeable future. Based on this assessment, the ""&LOWER(Director_board)&Director_has_have&"" no reason to believe that the ""&GroupEntityCase&"" will not be a going concern for the foreseeable future.""",,
6FD36E9C,'[IFRS+ Financials.xlsx]Directors'!$D$76,The director is not aware of any new material changes that may adversely impact the company. The director is also not aware of any material non-compliance with statutory or regulatory requirements or of any pending changes to legislation which may affect the company.,"'=""The ""&LOWER(Director_board)&""""&Director_is_are&"" not aware of any new material changes that may adversely impact the ""&EntityDescriptionCase&"". The ""&LOWER(Director_board)&""""&Director_is_are&"" also not aware of any material non-compliance with statutory or regulatory requirements or of any pending changes to legislation which may affect the ""&EntityDescriptionCase&AndGroup&"".""",,
E95F06FD,'[IFRS+ Financials.xlsx]Directors'!$D$78,"The director draws attention to the statement of changes in equity in the annual financial statements which indicates that the company incurred a net loss of R0 during the year ended 28 February 2025, and as of that date, the company's total liabilities exceeded its total assets by R0. These conditions indicate the existence of uncertainty which may cast doubt about the company's ability to continue as a going concern.","'=IF(TotalEquityFinal<0,""The ""&LOWER(Director_board)&Director_draw_s&"" attention to the ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in the ""&LOWER(AFS_Name)&"" which indicates that the ""&GroupEntityCase&"" incurred a net ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" of ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" during the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"", and as of that date, the ""&GroupEntityCaseAp&"" total liabilities exceeded its total assets by ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"". These conditions indicate the existence of uncertainty which may cast doubt about the ""&GroupEntityCaseAp&"" ability to continue as a going concern."",""The ""&LOWER(Director_board)&Director_draw_s&"" attention to the ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in the ""&LOWER(AFS_Name)&"" which indicates that the ""&GroupEntityCase&"" incurred a net ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" of ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" during the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"", and as of that date, the ""&GroupEntityCaseAp&"" total liabilities exceeded its total assets by ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"". These conditions indicate the existence of uncertainty which may cast doubt about the ""&GroupEntityCaseAp&"" ability to continue as a going concern."")",,
